bank,period,stated_conf,actual_violation_rate,expected_rate,excess_rate,n_violations,n_trading_days
JPM,2022Q2,0.9500000000000003,0.0967741935483871,0.050000000000000024,0.04677419354838707,6.0,62.0
JPM,2022Q3,0.9500000000000001,0.0625,0.050000000000000044,0.012499999999999956,4.0,64.0
JPM,2022Q4,0.9500000000000004,0.1111111111111111,0.05000000000000002,0.06111111111111109,7.0,63.0
JPM,2023Q1,0.9500000000000003,0.1774193548387097,0.050000000000000024,0.12741935483870967,11.0,62.0
JPM,2023Q2,0.9500000000000003,0.08064516129032258,0.050000000000000024,0.030645161290322555,5.0,62.0
JPM,2023Q3,0.9500000000000004,0.06349206349206349,0.05000000000000002,0.013492063492063472,4.0,63.0
JPM,2023Q4,0.9500000000000004,0.031746031746031744,0.05000000000000002,-0.018253968253968272,2.0,63.0
JPM,2024Q1,0.9500000000000003,0.08196721311475409,0.050000000000000024,0.03196721311475407,5.0,61.0
JPM,2024Q2,0.9500000000000004,0.2222222222222222,0.05000000000000002,0.1722222222222222,14.0,63.0
JPM,2024Q3,0.9500000000000001,0.3125,0.050000000000000044,0.26249999999999996,20.0,64.0
JPM,2024Q4,0.9500000000000001,0.25,0.050000000000000044,0.19999999999999996,16.0,64.0
MS,2019Q1,0.9500000000000003,0.0,0.05000000000000003,-0.05000000000000003,0.0,60.0
MS,2019Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
MS,2019Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2019Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2020Q1,0.9500000000000003,0.016129032258064516,0.050000000000000024,-0.03387096774193551,1.0,62.0
MS,2020Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
MS,2020Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2020Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2021Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,61.0
MS,2021Q2,0.9500000000000004,0.0,0.05000000000000002,-0.05000000000000002,0.0,63.0
MS,2021Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2021Q4,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2022Q1,0.9500000000000003,0.016129032258064516,0.050000000000000024,-0.03387096774193551,1.0,62.0
MS,2022Q2,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
MS,2022Q3,0.9500000000000001,0.0,0.050000000000000044,-0.050000000000000044,0.0,64.0
MS,2022Q4,0.9500000000000004,0.015873015873015872,0.05000000000000002,-0.034126984126984145,1.0,63.0
MS,2023Q1,0.9500000000000003,0.016129032258064516,0.050000000000000024,-0.03387096774193551,1.0,62.0
MS,2023Q2,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,62.0
MS,2023Q3,0.9500000000000004,0.015873015873015872,0.05000000000000002,-0.034126984126984145,1.0,63.0
MS,2023Q4,0.9500000000000004,0.031746031746031744,0.05000000000000002,-0.018253968253968272,2.0,63.0
MS,2024Q1,0.9500000000000003,0.0,0.050000000000000024,-0.050000000000000024,0.0,61.0
MS,2024Q2,0.9500000000000004,0.015873015873015872,0.05000000000000002,-0.034126984126984145,1.0,63.0
MS,2024Q3,0.9500000000000001,0.015625,0.050000000000000044,-0.034375000000000044,1.0,64.0
MS,2024Q4,0.9500000000000001,0.046875,0.050000000000000044,-0.0031250000000000444,3.0,64.0
BAC,full_sample,0.9900000000000001,0.004638833664678595,0.010000000000000009,-0.0053611663353214135,7.0,1509.0
C,full_sample,0.9900000000000001,0.003976143141153081,0.010000000000000009,-0.006023856858846928,6.0,1509.0
GS,full_sample,0.9499999999999998,0.004638833664678595,0.05000000000000005,-0.04536116633532146,7.0,1509.0
